,01. En su casa pueden encontrar cosas cuando las necesitan.,02. El ambiente de su casa es un poco agitado,03. Parecería que en su casa andan a las apuradas.,04. Son capaces de mantener bajo control las situaciones que se planifican,"05. No importa cuánto se esfuercen, parece que no les alcanza el tiempo. ",06. Su casa es un desorden.,07. En su casa pueden hablar entre ustedes sin interrupciones.,08. Su casa es un alboroto.,"09. No importa lo que su familia planee, por lo general no parece concretarse.",10. En su casa no es posible concentrarse.,11. En su casa usted termina involucrado en las discusiones de otros.,12. Su casa es un buen lugar para relajarse.,13. En su casa pasan mucho tiempo hablando por teléfono/mandando y escuchando audios.,14. La atmósfera de su hogar es tranquila.,15. En su casa hay una rutina regular a primera hora del día.,01. Da la impresión de que siempre tiene prisa cuando se mueve de un sitio a otro.,02. Se siente bastante frustrado cuando se le impide hacer algo que quiere hacer.,03. Muestra una gran concentración cuando dibuja o pinta en un libro.,04. Le gusta deslizarse por lugares altos o realizar otras actividades arriesgadas.,05. Se encuentra muy molesto por un pequeño corte o golpe.,06. Prepara los viajes y excursiones planificando las cosas que necesitará.,07. Con frecuencia se lanza hacia nuevas situaciones.,08. Tiende a ponerse triste si los planes familiares no se realizan.,09. Le gusta que le canten,10. Parece encontrarse cómodo/a con casi todo el mundo.,"11. Tiene miedo de los ladrones y del “cuco"".",12. Se percata de que los padres llevan ropa nueva.,13. Prefiere las actividades tranquilas antes que los juegos activos.,"14. Cuando se enfada por algo, suele estar molesto durante 10 minutos o más.","15. Cuando juega con un rompecabezas o juegos de construcción, se queda concentrado en lo que está haciendo y trabaja durante mucho tiempo.","16. En los columpios, le gusta que se le empuje alto y rápido.",17. Parece sentirse triste cuando no puede finalizar alguna tarea.,18.  Se le da bien seguir las instrucciones que se le dan.,19. Le lleva mucho tiempo entrar en contacto con nuevas situaciones.,20. Es muy raro que se queje cuando está enfermo con un resfriado.,Código de participante,"21. Le gusta el sonido de las palabras, como en las canciones infantiles.","22. A veces es tímido/a, incluso con gente que conoce desde hace tiempo.",23. Es difícil de calmar cuando se disgusta.,"24. Se da cuenta rápidamente de cualquier detalle nuevo en el ""cuarto de estar"".","25. Está lleno de energía, incluso por la noche.",26. No tiene miedo a la oscuridad.,27. A veces se queda absorto mirando durante mucho tiempo un dibujo de un libro.,28. Le gustan los juegos brutos/camorristas.,29. No se molesta mucho por pequeños cortes o arañazos.,30. Se acerca lenta y cautelosamente a lugares que le han dicho que son peligrosos.,"31. Es lento, no tiene prisa para decidir lo que a continuación tiene que hacer.",32. Se enfada cuando no encuentra algo con lo que quiere jugar.,"33. Disfruta con actividades rítmicas, como mecerse o balancearse.",34. A veces se aparta tímidamente de las nuevas amistades.,35. Se disgusta cuando familiares o amigos queridos se disponen a marchar después de una visita.,36. Hace comentarios cuando uno de los padres cambia de aspecto o de apariencia.
0,Siempre,Ocasionalmente,Nunca,Siempre,Siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Siempre,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Ligeramente falso,Ni falso ni verdadero,Ligeramente Cierto,Bastante Cierto,Cierto en Extremo,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Bastante falso,Ligeramente falso,Bastante falso,Bastante falso,AB105,Bastante Cierto,Ni falso ni verdadero,Bastante falso,Bastante Cierto,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Ligeramente falso,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente falso,Bastante Cierto,Bastante Cierto
1,Siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Siempre,Bastante falso,Ligeramente Cierto,Bastante Cierto,Falso en extremo,Ni falso ni verdadero,Ligeramente Cierto,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Bastante Cierto,Cierto en Extremo,Bastante Cierto,Bastante falso,Cierto en Extremo,Ligeramente falso,Ligeramente Cierto,Bastante Cierto,Bastante falso,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Ligeramente falso,BA102,Cierto en Extremo,Bastante Cierto,Ligeramente falso,Bastante Cierto,Ni falso ni verdadero,Falso en extremo,Falso en extremo,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Bastante falso,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto
2,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Nunca,Con bastante frecuencia,Nunca,Con bastante frecuencia,Nunca,Nunca,Siempre,Ocasionalmente,Siempre,Con bastante frecuencia,Bastante falso,Cierto en Extremo,Cierto en Extremo,Bastante falso,Cierto en Extremo,Ni falso ni verdadero,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,BA202,Bastante Cierto,Ni falso ni verdadero,Cierto en Extremo,Ligeramente Cierto,Ligeramente Cierto,Bastante falso,Ni falso ni verdadero,Falso en extremo,Bastante falso,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto
3,Siempre,Ocasionalmente,Ocasionalmente,Siempre,Ocasionalmente,Nunca,Siempre,Nunca,Nunca,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Siempre,Siempre,Bastante falso,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Cierto en Extremo,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,Cierto en Extremo,Ligeramente Cierto,Cierto en Extremo,Bastante falso,Cierto en Extremo,Cierto en Extremo,Bastante Cierto,Ligeramente falso,Ligeramente falso,AB203,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Ni falso ni verdadero,Ligeramente falso,Ligeramente falso,Bastante falso,Bastante falso,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto
4,Siempre,Ocasionalmente,Con bastante frecuencia,Siempre,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Nunca,Nunca,Ocasionalmente,Siempre,Ocasionalmente,Con bastante frecuencia,Con bastante frecuencia,Siempre,Bastante Cierto,Bastante Cierto,Cierto en Extremo,Cierto en Extremo,Bastante falso,Cierto en Extremo,Cierto en Extremo,Bastante falso,Cierto en Extremo,Cierto en Extremo,Falso en extremo,Cierto en Extremo,Ligeramente falso,Falso en extremo,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Bastante Cierto,Falso en extremo,Cierto en Extremo,AB206,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Ni falso ni verdadero,Bastante Cierto,Falso en extremo,Ligeramente Cierto,Falso en extremo,Ligeramente Cierto,Cierto en Extremo,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo
5,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Ligeramente falso,Cierto en Extremo,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Ni falso ni verdadero,Cierto en Extremo,Ni falso ni verdadero,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Ni falso ni verdadero,Ni falso ni verdadero,Bastante Cierto,AB205,Bastante Cierto,Ligeramente falso,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Ni falso ni verdadero,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Ni falso ni verdadero,Ligeramente falso,Bastante falso,Ligeramente falso,Bastante Cierto,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Ligeramente falso,Bastante Cierto,Cierto en Extremo
6,Siempre,Nunca,Ocasionalmente,Siempre,Ocasionalmente,Nunca,Con bastante frecuencia,Nunca,Nunca,Nunca,Nunca,Con bastante frecuencia,Ocasionalmente,Siempre,Siempre,Bastante falso,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Ligeramente Cierto,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Bastante falso,Bastante Cierto,BB02,Bastante Cierto,Bastante falso,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante falso,Ni falso ni verdadero,Cierto en Extremo
7,Siempre,Nunca,Con bastante frecuencia,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Nunca,Con bastante frecuencia,Siempre,Bastante falso,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Bastante falso,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Bastante falso,Falso en extremo,Ligeramente Cierto,Falso en extremo,Ni falso ni verdadero,Cierto en Extremo,Cierto en Extremo,Ni falso ni verdadero,Cierto en Extremo,Ligeramente Cierto,Falso en extremo,AB107,Cierto en Extremo,Ligeramente Cierto,Bastante Cierto,Cierto en Extremo,Cierto en Extremo,Falso en extremo,Cierto en Extremo,Bastante falso,Falso en extremo,Cierto en Extremo,Falso en extremo,Ligeramente Cierto,Cierto en Extremo,Bastante Cierto,Cierto en Extremo,Cierto en Extremo
8,Siempre,Nunca,Nunca,Con bastante frecuencia,Nunca,Ocasionalmente,Ocasionalmente,Nunca,Ocasionalmente,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Siempre,Ni falso ni verdadero,Ni falso ni verdadero,Bastante Cierto,Bastante falso,Ligeramente falso,Ligeramente Cierto,Ligeramente falso,Ligeramente falso,Cierto en Extremo,Bastante Cierto,Ligeramente falso,Bastante Cierto,Ni falso ni verdadero,Ligeramente falso,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante falso,Ligeramente falso,Ni falso ni verdadero,BA103,Ni falso ni verdadero,Ligeramente falso,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ni falso ni verdadero,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Falso en extremo,Bastante falso,Ni falso ni verdadero,Bastante Cierto
9,Siempre,Nunca,Ocasionalmente,Siempre,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Nunca,Nunca,Ocasionalmente,Nunca,Siempre,Ocasionalmente,Siempre,Siempre,Bastante falso,Cierto en Extremo,Cierto en Extremo,Bastante Cierto,Bastante falso,Ligeramente falso,Bastante falso,Bastante Cierto,Bastante Cierto,Bastante falso,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Falso en extremo,Bastante Cierto,Falso en extremo,Bastante Cierto,Bastante Cierto,Cierto en Extremo,Bastante falso,BB01,Ni falso ni verdadero,Cierto en Extremo,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Falso en extremo,Ligeramente Cierto,Falso en extremo,Bastante Cierto,Falso en extremo,Bastante Cierto,Falso en extremo,Cierto en Extremo,Bastante Cierto,Cierto en Extremo
10,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Siempre,Siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Con bastante frecuencia,Ocasionalmente,Siempre,Ligeramente falso,Ni falso ni verdadero,Bastante falso,Falso en extremo,Ni falso ni verdadero,Bastante Cierto,Cierto en Extremo,Falso en extremo,Bastante Cierto,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Bastante falso,Falso en extremo,Bastante Cierto,Cierto en Extremo,Bastante Cierto,Bastante Cierto,Bastante falso,Cierto en Extremo,BA201,Cierto en Extremo,Falso en extremo,Falso en extremo,Cierto en Extremo,Cierto en Extremo,Ni falso ni verdadero,Ligeramente Cierto,Ni falso ni verdadero,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,Bastante falso,Bastante Cierto,Bastante falso,Bastante falso,Bastante Cierto
11,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Siempre,Ocasionalmente,Ocasionalmente,Siempre,Nunca,Nunca,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Siempre,Bastante falso,Bastante Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Ni falso ni verdadero,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Cierto en Extremo,Bastante Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Ni falso ni verdadero,BB13,Ni falso ni verdadero,Ligeramente falso,Bastante falso,Ligeramente Cierto,Bastante Cierto,Falso en extremo,Ligeramente falso,Cierto en Extremo,Ligeramente falso,Ligeramente Cierto,Bastante falso,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Ni falso ni verdadero,Ni falso ni verdadero
12,Siempre,Nunca,Con bastante frecuencia,Siempre,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Siempre,Con bastante frecuencia,Ligeramente Cierto,Bastante falso,Ligeramente Cierto,Bastante falso,Ligeramente falso,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder","No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Ligeramente falso,Ni falso ni verdadero,Ni falso ni verdadero,Falso en extremo,Falso en extremo,Bastante falso,Bastante falso,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder","No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Bastante falso,Bastante Cierto,Ni falso ni verdadero,Ni falso ni verdadero,AA101,Ligeramente Cierto,Bastante falso,Bastante falso,Ni falso ni verdadero,Ligeramente falso,Ligeramente falso,Bastante falso,Ni falso ni verdadero,Ligeramente falso,Ligeramente Cierto,Ligeramente falso,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Ligeramente falso
13,Ocasionalmente,Siempre,Siempre,Ocasionalmente,Siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Siempre,Ocasionalmente,Ocasionalmente,Nunca,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Bastante Cierto,Ligeramente Cierto,Bastante falso,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante falso,Ligeramente Cierto,Bastante Cierto,Bastante falso,Bastante Cierto,Ligeramente falso,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,BB03,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Bastante falso,Bastante falso,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto
14,Con bastante frecuencia,Con bastante frecuencia,Con bastante frecuencia,Con bastante frecuencia,Siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Ocasionalmente,Nunca,Con bastante frecuencia,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ni falso ni verdadero,Bastante Cierto,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Bastante Cierto,Ni falso ni verdadero,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ni falso ni verdadero,Ni falso ni verdadero,Ligeramente Cierto,Bastante Cierto,Cierto en Extremo,Ni falso ni verdadero,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,Ligeramente Cierto,BB09,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Ni falso ni verdadero,Cierto en Extremo,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente falso,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente Cierto,Ni falso ni verdadero,Falso en extremo,Ligeramente falso,Ligeramente Cierto
15,Con bastante frecuencia,Nunca,Nunca,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Siempre,Con bastante frecuencia,Nunca,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Siempre,Siempre,Ligeramente Cierto,Ligeramente Cierto,Ni falso ni verdadero,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,Bastante Cierto,Bastante Cierto,Bastante falso,Cierto en Extremo,Ni falso ni verdadero,Ligeramente Cierto,Ligeramente falso,Ni falso ni verdadero,Ni falso ni verdadero,Ligeramente Cierto,Bastante falso,Bastante falso,AA105,Bastante Cierto,Ligeramente Cierto,Bastante falso,Cierto en Extremo,Cierto en Extremo,Bastante falso,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente falso,Bastante falso,Ligeramente Cierto,Bastante falso,Ni falso ni verdadero,Bastante Cierto
16,Siempre,Nunca,Ocasionalmente,Siempre,Ocasionalmente,Nunca,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Con bastante frecuencia,Nunca,Siempre,Con bastante frecuencia,Falso en extremo,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Bastante falso,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder","No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Ligeramente Cierto,Bastante Cierto,Ligeramente falso,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Bastante Cierto,Ligeramente falso,Bastante falso,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,BA203,Bastante Cierto,Bastante Cierto,Ligeramente falso,Bastante Cierto,Bastante Cierto,Ligeramente falso,Ligeramente Cierto,"No aplicable (la situación no tuvo lugar en los últimos 6 meses), desconoce o prefiere no responder",Ligeramente Cierto,Bastante falso,Bastante falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Ligeramente falso,Bastante Cierto
17,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Con bastante frecuencia,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Nunca,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante falso,Ligeramente Cierto,Bastante falso,Bastante Cierto,Bastante falso,Ligeramente Cierto,Ligeramente Cierto,Cierto en Extremo,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,AA204,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente falso,Bastante falso,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Bastante Cierto
18,Con bastante frecuencia,Nunca,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Siempre,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Siempre,Con bastante frecuencia,Bastante falso,Bastante Cierto,Bastante Cierto,Bastante falso,Ligeramente Cierto,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,Ni falso ni verdadero,Ligeramente Cierto,Ni falso ni verdadero,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Bastante falso,Bastante Cierto,AA203,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Bastante falso,Ni falso ni verdadero,Bastante falso,Bastante falso,Bastante falso,Ligeramente Cierto,Ligeramente falso,Ni falso ni verdadero,Bastante falso,Bastante Cierto,Bastante Cierto
19,Con bastante frecuencia,Nunca,Ocasionalmente,Con bastante frecuencia,Nunca,Nunca,Siempre,Nunca,Nunca,Nunca,Nunca,Con bastante frecuencia,Nunca,Con bastante frecuencia,Siempre,Bastante falso,Ligeramente falso,Cierto en Extremo,Bastante Cierto,Bastante falso,Cierto en Extremo,Ligeramente Cierto,Ligeramente Cierto,Cierto en Extremo,Ligeramente falso,Falso en extremo,Cierto en Extremo,Ni falso ni verdadero,Ligeramente falso,Bastante Cierto,Bastante Cierto,Bastante falso,Ligeramente falso,Bastante falso,Bastante Cierto,BB08,Bastante Cierto,Ligeramente Cierto,Ligeramente Cierto,Cierto en Extremo,Bastante falso,Cierto en Extremo,Ligeramente Cierto,Falso en extremo,Bastante Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Bastante Cierto,Cierto en Extremo
20,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Siempre,Con bastante frecuencia,Siempre,Con bastante frecuencia,Ligeramente Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Falso en extremo,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,Bastante Cierto,Ligeramente falso,Bastante Cierto,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,AA108,Cierto en Extremo,Ligeramente Cierto,Ligeramente falso,Cierto en Extremo,Ligeramente falso,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Bastante Cierto,Ligeramente Cierto,Ni falso ni verdadero,Ligeramente falso,Cierto en Extremo,Bastante falso,Ligeramente falso,Cierto en Extremo
21,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Nunca,Con bastante frecuencia,Ocasionalmente,Nunca,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Siempre,Ligeramente falso,Ligeramente falso,Bastante Cierto,Ligeramente Cierto,Ni falso ni verdadero,Cierto en Extremo,Bastante Cierto,Ligeramente Cierto,Cierto en Extremo,Cierto en Extremo,Ligeramente Cierto,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,Cierto en Extremo,Bastante Cierto,Ni falso ni verdadero,Bastante Cierto,Ni falso ni verdadero,Ligeramente Cierto,AB106,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Ni falso ni verdadero,Ligeramente falso,Ligeramente Cierto,Ligeramente Cierto,Ligeramente falso,Bastante Cierto,Bastante Cierto,Ligeramente falso,Ni falso ni verdadero,Bastante Cierto
22,Con bastante frecuencia,Ocasionalmente,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Nunca,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Ocasionalmente,Con bastante frecuencia,Ocasionalmente,Con bastante frecuencia,Con bastante frecuencia,Bastante Cierto,Bastante Cierto,Ni falso ni verdadero,Cierto en Extremo,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Bastante Cierto,Cierto en Extremo,Cierto en Extremo,Ligeramente Cierto,Bastante falso,Bastante Cierto,Cierto en Extremo,Ni falso ni verdadero,Ligeramente falso,Bastante falso,Ligeramente falso,BB04,Cierto en Extremo,Falso en extremo,Cierto en Extremo,Cierto en Extremo,Cierto en Extremo,Bastante falso,Ni falso ni verdadero,Cierto en Extremo,Falso en extremo,Ligeramente Cierto,Ni falso ni verdadero,Bastante falso,Cierto en Extremo,Falso en extremo,Bastante falso,Cierto en Extremo
