,Fecha C3,userID 1,Fecha de nacimiento,Edad (meses),A̱os,Sexo,PA,CO,FILM
C3A01,1/4/23,77933dbb-fd62-4cf2-8845-4bac061279b4,03/01/2018,62,"5,2",1,10,inv,0
C3A02,1/4/23,4856b267-9f88-44e1-a93a-d7fc884cd316,25/04/2015,95,"7,9",0,25,29,1
C3A03,1/4/23,cb5ac2d6-6dcb-44ff-bc32-4ccd546aa0d6,15/02/2017,73,"6,1",1,15,19,1
C3A04,1/4/23,5710f925-3de4-4ef9-ac9b-d773d60e3737,09/10/2016,77,"6,4",0,24,20,1
C3A05,1/4/23,7a603a86-7177-4339-b4a3-8d94d302ee1a,22/02/2015,97,"8,1",0,28,26,1
C3A06,1/4/23,35ab4e99-ad68-455c-84b6-66fe44b43c99,21/09/2015,90,"7,5",0,25,23,1
C3A07,1/4/23,8a2c8235-439c-4c23-9df6-90e21088f0fe,14/04/2017,71,"5,9",0,15,20,1
C3A08,1/4/23,a7d41d84-bc0e-4c62-84ea-f4aabb4b0a6c,14/04/2017,71,"5,9",1,15,7,1
C3A09,1/4/23,,,72,6?,0,16,16,1
C3A10,1/4/23,,,84,7?,1,33,30,1
C3B01,2/4/23,f06ca4bc-5c6c-40fd-9d60-ca6ec8fee7c0,01/02/2017,74,"6,2",0,21,18,1
C3B02,2/4/23,638faff8-27fe-4cce-82eb-6a9cc0430883,10/04/2018,59,"4,9",1,18,inv,0
C3B03,2/4/23,1baf72a4-e11f-4214-89b1-df1bb9e46ee7,06/11/2017,64,"5,3",0,inv,inv,1
C3B04,2/4/23,a1cc72dc-af8c-44a8-8fcf-9e9ed4dd4d5e,04/03/2016,84,"7,0",1,24,20,1
C3B05,2/4/23,b3424e22-2c7e-4c75-84c9-bff1d11174b1,28/09/2016,78,"6,5",1,inv,inv,1
C3B06,2/4/23,2fe758fe-bebd-4604-81b1-318306e5134d,28/05/2017,70,"5,8",1,28,25,1
C3B07,2/4/23,89e28d50-74f3-413e-8428-6094970bbaf8,27/07/2017,68,"5,7",1,14,inv,1
C3B08,2/4/23,ef575680-1af7-4c86-8860-54bae062b210,20/07/2015,92,"7,7",1,31,inv,1
C3B09,2/4/23,dce300dc-cf71-4b29-b9ca-b6a38ca7b30b,17/09/2015,90,"7,5",0,22,18,1
C3B10,2/4/23,44766f77-dccc-422c-8a83-bfd74955e79e,20/07/2015,92,"7,7",1,15,inv,1
C3B11,2/4/23,f3f46ee8-a74e-4fd4-b91d-12317907137a,21/02/2015,97,"8,1",1,24,20,1
C3B12,2/4/23,ba597cf1-7af7-4289-bf99-46fa3426d490,19/04/2015,95,"7,9",1,31,32,1
C3B13,2/4/23,4a6b42da-3b1c-416b-a33f-ff4dea8a35d8,24/01/2017,74,"6,2",1,inv,inv,1
C3B14,2/4/23,dc04b804-1cef-4ba8-8eab-44fc95be987e,09/01/2017,74,"6,2",0,20,23,1
C3B15,2/4/23,895b49c7-40a8-492c-97b6-3281a34ae1fe,13/07/2017,68,"5,7",1,17,inv,1
C3B16,2/4/23,,,,,0,NA,NA,0